Discharge_ID,Formula_dcg,Gravimetric_Capacity_(mAh/g),Average_Voltage_(V),Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_cg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
19261,Na3MnPCO7,192.202734859632,3.36955836155172,5,6.82547,89.918663,2,21,6.121,1184,550.423846153846,2.46153846153846,0.230769230769231,14.6279095616923,5.6094674556213,0.568047337278107,38.603550295858,0.957633136094675,1.64497041420118,0.355029585798817,0.994082840236686,0.796816568047337,3823,5,4,5,1.95230710506439,3.43611621856689,-2.37393021583557,-6.15886974334717
19280,Na(Nb3Se4)2,87.3088435622628,4.71863547155173,3,10.09415,89.999944,12,16,6.392,1715,1388.19133333333,4.33333333333333,0.466666666666667,23.0455555555533,5.76,0.533333333333333,22.0444444444444,0.520533333333333,1.99111111111111,0.497777777777778,0.995555555555556,0.397724444444444,2750,10,2,7,-0.560689210891724,1.95945453643799,-1.90611696243286,-5.59084129333496
19287,NaV2P2O9,118.538871682491,3.03206687655173,4,6.453138,90,2,24,3.25,799,418.905,2.5,0.0714285714285714,13.0249149659786,4.09183673469388,0.642857142857143,32.6938775510204,0.792551020408163,1.28571428571429,0.13265306122449,0.73469387755102,0.397959183673469,2183,3,3,7,3.73582363128662,1.91822135448456,-2.92479562759399,-7.68155336380005
19291,NaFeP2O7,144.949630676463,3.60090868905172,4,8.040386,68.283623,2,20,3.25,546,290.915454545455,2.45454545454545,0.0909090909090909,13.5317099567,3.35537190082645,0.578512396694215,28.6942148760331,0.765950413223141,1.15702479338843,0.165289256198347,0.661157024793388,0.483471074380165,1811,6,3,4,2.58859872817993,1.25756788253784,-2.66311359405518,-7.13750839233398
19328,NaWO3,105.174801734243,1.81720674905172,3,3.969588,90,60,6,0,494,846.054,3,0.2,14.52166666666,6,1.2,47.04,0.8616,1.92,0.32,0.96,0,3695,4,2,6,4.44432592391968,1.25597262382507,-2.14523220062256,-4.56397247314453
19349,Na(Nb3Te4)2,116.479959086631,3.82090487655173,3,10.747026,90,15,16,3.712,2819,1510.14333333333,4.86666666666667,0.466666666666667,27.76199999998,5.76,0.248888888888889,13.0844444444444,0.296533333333333,1.99111111111111,0.497777777777778,0.995555555555556,0.230968888888889,2750,10,2,7,3.31148886680603,0.668701529502869,-2.80781221389771,-6.56621885299683
19359,NaFeO2,241.817360204786,3.76471406655173,3,5.614292,31.183234,166,4,0,482,572.8675,2.75,0.25,14.545833333325,5.75,0.75,41.5,1.03,2,0.375,1,0,1811,6,2,4,2.81628799438477,2.05710196495056,-1.93733775615692,-7.48581695556641
19367,NaV3Fe2CuO12,117.988533602513,4.19856919155173,5,6.745436,107.098885,15,24,0,1743,660.907368421053,2.68421052631579,0.105263157894737,11.0559649122789,4.58725761772853,0.864265927977839,37.1634349030471,0.844321329639889,1.86149584487535,0.188365650969529,0.930747922437673,0,2183,10,2,7,3.30729579925537,3.30337858200073,-2.86193060874939,-6.67709732055664
19391,Na3(WO3)4,253.011079172627,2.35613607155173,3,6.832067,89.900821,12,24,0,1747,871.063684210526,3,0.157894736842105,13.7468421052579,5.65096952908587,1.26315789473684,45.4736842105263,0.787811634349031,1.86149584487535,0.265927977839335,0.930747922437673,0,3695,4,2,6,3.91543626785278,1.8580139875412,-2.3217294216156,-6.46780967712402
19427,NaV2O4,214.531314523809,2.17921749655172,3,6.068567,60.690398,15,8,0,735,708.01,2.71428571428571,0.142857142857143,13.0976190476143,6.04081632653061,0.816326530612245,44.734693877551,1.00081632653061,1.95918367346939,0.244897959183673,0.979591836734694,0,2183,3,2,7,1.21502161026001,1.59489560127258,-1.56902182102203,-6.83493709564209
19470,Na4Co3P4O15,99.9457597389246,4.37764028905173,4,6.595142,90,12,42,6.5,1686,341.487692307692,2.53846153846154,0.153846153846154,14.4063186813077,4.47041420118343,0.621301775147929,33.0177514792899,0.875147928994083,1.49112426035503,0.260355029585799,0.869822485207101,0.423076923076923,1768,7,3,3,2.50874471664429,3.40881776809692,-2.12718391418457,-7.09295701980591
19482,NaNbO2,93.4293021404477,3.86903825155173,3,2.975081,90,14,4,0,482,807.6175,3,0.5,16.408333333325,6.5,1,49.5,1.0875,2,0.5,1,0,2750,4,2,7,2.7242374420166,3.82205677032471,-2.47689199447632,-5.3427357673645
19844,Na3MoF6,15.6964226829103,0.965591996551712,3,6.009087,59.999997,204,6,11.82,1006,432.961,2.6,0.4,16.16649999999,7.08,0.72,50.88,1.3164,2.4,0.48,0.48,0.9456,2896,5,1,6,7.13631963729858,0.370779395103455,-0.0948231220245361,-6.32264709472656
21036,Na3(WO3)4,243.812486365644,3.15668675655173,3,6.813249,109.586102,59,24,0,1747,871.063684210526,3,0.157894736842105,13.7468421052579,5.65096952908587,1.26315789473684,45.4736842105263,0.787811634349031,1.86149584487535,0.265927977839335,0.930747922437673,0,3695,4,2,6,3.13797473907471,1.76558470726013,-1.96834468841553,-6.41975736618042
21213,NaCr(GeO3)2,84.7444787086993,4.41591463655172,4,5.55524,83.100215,15,20,0.766,980,530.247,2.7,0.2,14.10733333333,3.84,0.84,33.72,0.858,1.44,0.32,0.8,0.12256,2180,10,4,6,1.9561824798584,2.89161777496338,-2.20471048355103,-7.38784790039063
21590,Na3Cr2(PS4)3,183.030589878312,3.90408833780172,4,11.44242,85.517034,70,33,31.299,1991,554.2415,3.1,0.25,24.363160714275,4.8,0.18,18.675,0.48,1.425,0.375,0.825,0.782475,2180,5,3,6,1.84992861747742,3.5698037147522,-2.05369544029236,-7.04992198944092
