Discharge_ID,Formula_dcg,Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_dcg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
25462,LiFe(CO3)2,4,5.619418,89.979495,148,20,8.992,918,1023.949,2.2,0.1,9.32333333333,3.52,0.36,19.68,0.702,1.44,0.18,0.8,1.43872,3823,6,4,0,3.69528150558472,0.940587997436523,0.940587997436523,-2.58556604385376
25839,Li14Co9(P2O7)8,4,10.747796,68.820392,2,160,26,5656,320.09747368421,2.35789473684211,0.147368421052632,12.5843734335726,4.27434903047091,0.527423822714682,25.6141828254848,0.849834903047091,1.38637119113573,0.251301939058172,0.815512465373961,0.455180055401662,1768,7,3,0,4.43513298034668,0.383400559425354,0.383400559425354,-2.9042010307312
19328,NaWO3,3,3.969588,90,60,6,0,494,846.054,3,0.2,14.52166666666,6,1.2,47.04,0.8616,1.92,0.32,0.96,0,3695,4,2,6,4.44432592391968,1.25597262382507,-2.14523220062256,-4.56397247314453
752583,Na2Fe3(PO4)3,3,6.858603,75.362928,2,78,0,5964,861.139206349206,3,0.174603174603175,14.0543121693064,5.79743008314437,1.23809523809524,46.1436130007559,0.818518518518518,1.88662131519274,0.288233812043336,0.943310657596372,0,3695,4,2,6,2.65506482124329,1.68418097496033,-1.22168850898743,-6.47972393035889
1111315,NaTiF3,4,6.158066,60,2,6,11.82,967,423.867,2.7,0.3,14.97516666666,6.12,0.84,49.08,1.2708,2.4,0.42,0.48,0.9456,1941,10,1,8,2.41664934158325,0.90365731716156,-2.80698919296265,-6.29900074005127
773188,Na3CoAsCO7,5,5.320096,89.999335,11,21,3.726,1224,442.428461538462,2.46153846153846,0.230769230769231,14.9932277851385,5.6094674556213,0.568047337278107,37.9408284023669,0.973491124260355,1.79881656804734,0.355029585798817,0.994082840236686,0.485041420118343,2348,5,5,5,1.73221504688263,3.01683950424194,-2.32327580451965,-6.81867933273315
760035,Na6Cu9(PO4)8,4,5.001234,90,1,11,1.625,508,388.338571428571,2.57142857142857,0.142857142857143,14.1376530612143,4.61224489795918,0.653061224489796,33.7959183673469,0.876734693877551,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1811,6,3,4,2.67405343055725,0.457762002944946,-2.12308049201965,-5.85783386230469
753049,Na4Ni5(P3O11)2,4,6.388593,80.623362,12,35,4.875,1078,373.4085,2.5,0.05,12.375452380945,3.06,0.65,27.365,0.72085,1.235,0.095,0.7,0.414375,1811,6,3,4,5.35636425018311,0.760605454444885,-1.7177072763443,-6.1032657623291
18921,NaTiO2,3,6.234801,60,166,4,0,447,605.3675,2.75,0.25,16.035833333325,6.75,0.75,48.5,1.1025,2,0.375,1,0,1941,2,2,8,3.22357511520386,0.999996185302734,-1.53939759731293,-7.06469488143921
25911,LiVPO5,4,5.283254,71.549493,15,13,1.625,520,403.49875,2.375,0.125,12.2123214285625,4.8125,0.5625,29.6875,0.8625,1.4375,0.21875,0.8125,0.35546875,2183,3,3,0,1.01672804355621,2.13931655883789,2.13931655883789,-2.65931129455566
25861,LiCr(PO4)2,4,9.023584,85.209828,14,22,3.25,558,308.890833333333,2.33333333333333,0.166666666666667,12.146984126975,3.41666666666667,0.5,24.1111111111111,0.748888888888889,1.11111111111111,0.277777777777778,0.611111111111111,0.451388888888889,2180,5,3,0,2.51721239089966,2.70855832099915,2.70855832099915,-2.61491966247559
26297,LiV(PO3)4,4,13.73461,82.741256,4,36,6.5,610,253.527222222222,2.33333333333333,0.0555555555555556,12.7302380952278,2.51851851851852,0.481481481481481,23.1851851851852,0.686666666666667,0.888888888888889,0.104938271604938,0.444444444444444,0.561728395061728,2183,3,3,0,2.96442484855652,3.05003690719604,3.05003690719604,-2.67361354827881
761084,NaMn(PO3)3,3,8.864379,101.87644,11,108,0,8281,597.412197802198,2.67032967032967,0.142857142857143,13.9823443223396,6.29923922231615,0.795556092259389,46.3770076077768,1.02026808356479,1.9302016664654,0.244897959183673,0.965100833232701,0,1941,2,2,8,1.25549745559692,1.1764395236969,-2.32392573356628,-6.10005140304565
756274,NaMo2P3O13,5,6.695724,89.057963,11,22,3.149,1168,459.423846153846,2.46153846153846,0.230769230769231,14.7644413919308,5.45562130177515,0.568047337278107,37.4674556213018,0.976686390532544,1.7396449704142,0.355029585798817,1.0414201183432,0.40992899408284,2348,6,5,5,3.3282585144043,0.441495895385742,-0.97230464220047,-5.79116439819336
25971,LiFe3OF5,4,5.942092,71.779598,8,7,9.85,1003,620.899,2.6,0.1,10.64258333333,5.08,0.84,34.8,1.0908,2.32,0.18,0.56,0.985,1811,6,2,0,3.04600286483765,3.44049763679504,3.44049763679504,-2.61370897293091
26009,Li3Mo3(PO4)4,4,5.104174,84.680467,14,44,6.5,1574,469.041153846154,2.5,0.230769230769231,12.8004212454115,4.36686390532544,0.730769230769231,29.0650887573965,0.767810650887574,1.3491124260355,0.355029585798817,0.781065088757396,0.423076923076923,2896,5,3,0,1.25428211688995,1.43680500984192,1.43680500984192,-2.38179063796997
